record_id,event_present,t0_sample,amplitude_A
150,1,117,1.6514303308478253
151,0,-1,0.0
152,0,-1,0.0
153,1,134,3.7702705028181436
154,1,40,1.544175844175101
155,1,27,1.61946694207988
156,1,93,3.2596713450907684
157,0,-1,0.0
158,1,69,1.8647898354545307
159,0,-1,0.0
160,1,143,3.3593777784331937
161,0,-1,0.0
162,0,-1,0.0
163,1,49,2.6657110553655787
164,1,121,2.884936596261441
165,0,-1,0.0
166,1,165,1.9445243943775061
167,1,147,2.3080126219756796
168,1,54,2.0027711272917332
169,1,146,3.3741022344874176
170,1,78,2.9463116804686402
171,1,162,3.70696505070304
172,1,164,2.2004325679993357
173,1,113,3.0641079081573044
174,0,-1,0.0
175,1,127,1.719865489074809
176,1,72,2.225654647075788
177,0,-1,0.0
178,1,122,3.3349178549492198
179,1,53,1.1649860350369068
180,0,-1,0.0
181,1,124,3.5067260158079527
182,0,-1,0.0
183,1,110,1.1088843375156312
184,1,161,2.0764309884381706
185,1,60,3.392118796447407
186,1,166,3.112598810966277
187,0,-1,0.0
188,1,61,3.274333443592057
189,1,71,2.9584125798500236
190,1,62,2.5919640789861504
191,1,52,1.2967422038671854
192,1,74,1.8753004930268915
193,0,-1,0.0
194,1,94,2.090029484557636
195,0,-1,0.0
196,1,88,1.9548254240904201
197,1,52,2.614813636334035
198,1,34,1.0359507234834213
199,0,-1,0.0
200,0,-1,0.0
201,1,97,1.4631968304233518
202,1,127,2.7566745160049564
203,1,55,1.9902943525158987
204,1,99,3.655034144221492
205,1,127,2.902803643649801
206,1,149,3.096188309720384
207,1,142,3.3579313260716033
208,0,-1,0.0
209,1,85,2.361052216991528
210,1,76,1.8913417184723582
211,1,129,3.63456229070416
212,0,-1,0.0
213,1,60,1.7248096114278355
214,1,37,1.7233175204920441
215,1,161,2.9610817509593703
216,0,-1,0.0
217,1,30,3.4948944818729815
218,0,-1,0.0
219,1,100,3.013772887402247
220,1,63,3.036694329307022
221,1,159,2.509932417961946
222,1,160,2.172197543315415
223,1,55,2.7775706741387367
224,1,108,3.490800673716417
225,0,-1,0.0
226,1,88,2.0044777976923505
227,1,89,3.3973622262981844
228,1,86,2.9921593672613103
229,0,-1,0.0
230,0,-1,0.0
231,0,-1,0.0
232,1,130,1.2996233475702907
233,1,31,2.9086358820871148
234,1,122,2.928286173673831
235,0,-1,0.0
236,1,121,2.676412703037304
237,1,55,3.1449359415701497
238,1,120,1.1571337426391146
239,0,-1,0.0
240,1,39,3.4940950629037206
241,1,53,1.4790626434509682
242,1,81,1.147338252149627
243,0,-1,0.0
244,1,157,2.572916361355464
245,0,-1,0.0
246,0,-1,0.0
247,0,-1,0.0
248,1,151,2.4406959357388
249,1,41,2.024843618698304
250,1,167,1.0255389854790564
251,1,67,3.255083801451093
252,1,82,2.9358805609237004
253,1,165,3.1409024843769333
254,1,154,3.6447549153062635
255,1,55,3.171827585874751
256,0,-1,0.0
257,1,49,2.5271085126985815
258,1,57,1.6318399015767673
259,1,103,2.3254722103729035
260,1,164,3.341422517384033
261,0,-1,0.0
262,1,154,2.917408758659475
263,0,-1,0.0
264,1,111,1.8537959521849348
265,0,-1,0.0
266,1,163,1.4985719133499456
267,1,143,1.663908233839462
268,1,159,1.6128545216528969
269,0,-1,0.0
270,1,97,2.6405221698008132
271,0,-1,0.0
272,0,-1,0.0
273,1,65,3.502003828995039
274,0,-1,0.0
275,1,67,3.267957973509158
276,0,-1,0.0
277,0,-1,0.0
278,0,-1,0.0
279,1,48,3.704552072107154
280,0,-1,0.0
281,1,31,2.966820656762706
282,0,-1,0.0
283,0,-1,0.0
284,1,25,2.8695881533159353
285,0,-1,0.0
286,1,83,2.9947459509424617
287,1,113,2.5859134138711006
288,0,-1,0.0
289,0,-1,0.0
290,0,-1,0.0
291,1,148,3.585751068798316
292,1,132,2.3815060308051876
293,0,-1,0.0
294,1,97,1.122179022426987
295,0,-1,0.0
296,0,-1,0.0
297,0,-1,0.0
298,1,106,3.242283930530343
299,1,72,3.0342398612935293
300,1,127,1.248444832321445
301,1,33,1.962215222966381
302,0,-1,0.0
303,0,-1,0.0
304,1,68,3.52774866198793
305,1,41,3.094294351993596
306,1,42,3.7509813864148858
307,0,-1,0.0
308,1,134,1.9173817610960753
309,0,-1,0.0
310,1,120,1.9935515343823589
311,0,-1,0.0
312,1,73,1.2557704725811953
313,1,173,1.428352489070364
314,0,-1,0.0
315,1,152,1.7428312567635715
316,1,104,1.68117950299974
317,1,164,1.7139922869293014
318,0,-1,0.0
319,0,-1,0.0
320,0,-1,0.0
321,1,117,1.0212741818496724
322,1,48,2.531294092332123
323,0,-1,0.0
324,0,-1,0.0
325,1,77,2.067609689605717
326,0,-1,0.0
327,1,100,2.0106639153309667
328,0,-1,0.0
329,0,-1,0.0
330,1,116,2.9050935620154896
331,0,-1,0.0
332,1,157,1.956483616312735
333,1,104,2.746688921336811
334,0,-1,0.0
335,0,-1,0.0
336,0,-1,0.0
337,1,169,1.4607048330499628
338,0,-1,0.0
339,1,121,3.387987535776222
340,0,-1,0.0
341,1,108,1.4316773507444087
342,1,107,1.53116895029956
343,1,49,2.1715469823755718
344,0,-1,0.0
345,0,-1,0.0
346,0,-1,0.0
347,0,-1,0.0
348,1,52,2.5582477005430118
349,1,173,2.804256825925555
350,0,-1,0.0
351,1,59,3.6478164778965807
352,1,57,2.931229281641148
353,0,-1,0.0
354,1,61,3.5246723051540023
355,0,-1,0.0
356,1,84,1.720454251119216
357,1,66,3.296307060411022
358,0,-1,0.0
359,0,-1,0.0
360,0,-1,0.0
361,0,-1,0.0
362,1,170,3.1579801481326633
363,0,-1,0.0
364,1,121,2.6007748222930025
365,0,-1,0.0
366,0,-1,0.0
367,1,80,2.131276088260594
368,0,-1,0.0
369,0,-1,0.0
370,1,74,3.672509379887818
371,1,103,3.5181653741832166
372,0,-1,0.0
373,1,58,3.5290057178198926
374,1,84,1.4301899125737152
375,1,58,2.9338092234090576
376,0,-1,0.0
377,1,119,2.270670919318296
378,1,173,2.141846634755953
379,1,151,2.098525423899739
380,1,76,2.742343200789043
381,1,57,1.0754184430781213
382,1,75,1.203899954300954
383,0,-1,0.0
384,1,65,2.940879549536157
385,1,38,1.159903204410714
386,0,-1,0.0
387,0,-1,0.0
388,0,-1,0.0
389,1,65,3.460394644286894
390,1,25,3.3055321159849416
391,1,79,1.9299067833807937
392,0,-1,0.0
393,1,114,3.1581243043620715
394,1,137,1.0422785540862753
395,1,123,3.3433741826798586
396,1,107,3.5725211372484913
397,1,33,3.2926500763421824
398,1,70,3.0624504444092295
399,0,-1,0.0
400,0,-1,0.0
401,0,-1,0.0
402,1,127,2.2496149413329047
403,0,-1,0.0
404,1,148,2.869862149269921
405,0,-1,0.0
406,0,-1,0.0
407,0,-1,0.0
408,1,73,3.758028851132929
409,0,-1,0.0
410,0,-1,0.0
411,1,110,1.412946587900072
412,1,176,1.252333230648879
413,0,-1,0.0
414,1,108,1.8448592119194296
415,0,-1,0.0
416,0,-1,0.0
417,1,53,3.0178832841887284
418,0,-1,0.0
419,1,58,1.0247890044522752
420,0,-1,0.0
421,1,103,2.313032158352444
422,0,-1,0.0
423,1,174,3.6548931509050777
424,0,-1,0.0
425,1,56,1.7401803301900296
426,1,79,2.3780763633734234
427,0,-1,0.0
428,1,73,2.9180274426258994
429,1,165,3.6263579199565013
430,1,40,1.1834772656687473
431,1,154,3.7764170339503695
432,1,89,1.148561598250608
433,1,167,2.5289028008334826
434,1,155,1.8185334409261076
435,1,93,3.7837753117672692
436,1,150,1.3871691959054844
437,1,88,1.6788081365637535
438,0,-1,0.0
439,1,32,3.189800949763476
440,0,-1,0.0
441,1,115,3.4912864751231822
442,1,171,3.7398398733099665
443,1,70,1.9284043545778558
444,1,141,2.1409590511756766
445,0,-1,0.0
446,1,65,2.1467026276638794
447,0,-1,0.0
448,0,-1,0.0
449,1,145,3.3467849982734874
450,0,-1,0.0
451,0,-1,0.0
452,0,-1,0.0
453,1,81,3.1394704450857858
454,0,-1,0.0
455,1,124,2.9107550434435496
456,1,148,2.1884567370937287
457,1,135,2.2245338213109367
458,0,-1,0.0
459,1,47,1.934641854113929
460,1,38,3.71710229918127
461,1,149,1.8058673177632634
462,1,43,1.6526491938076082
463,1,106,2.8147336491485584
464,1,71,1.0895590966304742
465,1,40,1.6070048160124846
466,1,25,2.4686831295020255
467,1,45,1.6786783086249892
468,0,-1,0.0
469,1,36,1.7062825662163554
470,0,-1,0.0
471,1,140,2.075976362224236
472,0,-1,0.0
473,1,170,1.599830078849486
474,0,-1,0.0
475,1,79,2.1972954709106722
476,0,-1,0.0
477,1,46,2.688953830842984
478,0,-1,0.0
479,0,-1,0.0
480,0,-1,0.0
481,1,155,2.096170390492575
482,1,82,1.4748600368951865
483,1,134,2.2429828576405964
484,1,132,1.0417703729102803
485,1,33,3.4910428567315006
486,1,111,3.241296977595959
487,0,-1,0.0
488,1,114,1.1923651032326283
489,1,124,1.1479952209489592
490,1,140,1.344465704009046
491,1,29,1.6703366418764531
492,1,132,3.098058616038069
493,1,42,3.109509360238803
494,0,-1,0.0
495,0,-1,0.0
496,1,36,2.6069924414884342
497,0,-1,0.0
498,0,-1,0.0
499,0,-1,0.0
